"","RainToday","variable","value"
"1","No","Humidity9am",68
"2","Yes","Humidity9am",80
"3","Yes","Humidity9am",82
"4","Yes","Humidity9am",62
"5","Yes","Humidity9am",68
"6","No","Humidity9am",70
"7","No","Humidity9am",63
"8","No","Humidity9am",65
"9","No","Humidity9am",70
"10","Yes","Humidity9am",82
"11","No","Humidity9am",74
"12","No","Humidity9am",54
"13","No","Humidity9am",62
"14","No","Humidity9am",67
"15","No","Humidity9am",45
"16","No","Humidity9am",70
"17","No","Humidity9am",72
"18","Yes","Humidity9am",59
"19","No","Humidity9am",60
"20","No","Humidity9am",61
"21","No","Humidity9am",60
"22","No","Humidity9am",88
"23","Yes","Humidity9am",91
"24","No","Humidity9am",74
"25","No","Humidity9am",85
"26","No","Humidity9am",65
"27","No","Humidity9am",70
"28","No","Humidity9am",61
"29","No","Humidity9am",69
"30","No","Humidity9am",83
"31","Yes","Humidity9am",82
"32","Yes","Humidity9am",66
"33","No","Humidity9am",72
"34","Yes","Humidity9am",74
"35","No","Humidity9am",69
"36","No","Humidity9am",78
"37","No","Humidity9am",70
"38","Yes","Humidity9am",76
"39","No","Humidity9am",78
"40","No","Humidity9am",58
"41","No","Humidity9am",60
"42","No","Humidity9am",66
"43","No","Humidity9am",70
"44","No","Humidity9am",63
"45","No","Humidity9am",63
"46","Yes","Humidity9am",93
"47","Yes","Humidity9am",59
"48","No","Humidity9am",61
"49","No","Humidity9am",72
"50","Yes","Humidity9am",97
"51","Yes","Humidity9am",81
"52","Yes","Humidity9am",92
"53","Yes","Humidity9am",59
"54","No","Humidity9am",69
"55","Yes","Humidity9am",67
"56","No","Humidity9am",63
"57","No","Humidity9am",68
"58","Yes","Humidity9am",73
"59","No","Humidity9am",65
"60","No","Humidity9am",55
"61","No","Humidity9am",44
"62","No","Humidity9am",50
"63","No","Humidity9am",43
"64","No","Humidity9am",69
"65","No","Humidity9am",56
"66","No","Humidity9am",69
"67","No","Humidity9am",77
"68","No","Humidity9am",60
"69","No","Humidity9am",77
"70","No","Humidity9am",74
"71","No","Humidity9am",64
"72","No","Humidity9am",56
"73","No","Humidity9am",61
"74","Yes","Humidity9am",65
"75","No","Humidity9am",70
"76","No","Humidity9am",70
"77","No","Humidity9am",58
"78","Yes","Humidity9am",62
"79","No","Humidity9am",63
"80","Yes","Humidity9am",92
"81","Yes","Humidity9am",80
"82","No","Humidity9am",73
"83","No","Humidity9am",55
"84","No","Humidity9am",60
"85","No","Humidity9am",64
"86","No","Humidity9am",67
"87","No","Humidity9am",70
"88","No","Humidity9am",71
"89","No","Humidity9am",60
"90","No","Humidity9am",72
"91","No","Humidity9am",68
"92","Yes","Humidity9am",66
"93","Yes","Humidity9am",73
"94","No","Humidity9am",71
"95","No","Humidity9am",67
"96","Yes","Humidity9am",92
"97","Yes","Humidity9am",88
"98","No","Humidity9am",77
"99","No","Humidity9am",76
"100","Yes","Humidity9am",75
"101","No","Humidity9am",65
"102","No","Humidity9am",66
"103","No","Humidity9am",74
"104","Yes","Humidity9am",95
"105","Yes","Humidity9am",81
"106","No","Humidity9am",63
"107","No","Humidity9am",69
"108","No","Humidity9am",71
"109","No","Humidity9am",64
"110","No","Humidity9am",72
"111","No","Humidity9am",69
"112","No","Humidity9am",78
"113","Yes","Humidity9am",88
"114","Yes","Humidity9am",78
"115","No","Humidity9am",57
"116","No","Humidity9am",54
"117","No","Humidity9am",70
"118","No","Humidity9am",74
"119","No","Humidity9am",74
"120","No","Humidity9am",74
"121","Yes","Humidity9am",58
"122","No","Humidity9am",60
"123","No","Humidity9am",65
"124","No","Humidity9am",78
"125","No","Humidity9am",72
"126","No","Humidity9am",69
"127","No","Humidity9am",76
"128","No","Humidity9am",56
"129","Yes","Humidity9am",79
"130","No","Humidity9am",66
"131","No","Humidity9am",74
"132","No","Humidity9am",50
"133","No","Humidity9am",80
"134","No","Humidity9am",91
"135","No","Humidity9am",57
"136","No","Humidity9am",47
"137","No","Humidity9am",44
"138","No","Humidity9am",73
"139","No","Humidity9am",76
"140","No","Humidity9am",59
"141","No","Humidity9am",76
"142","No","Humidity9am",77
"143","No","Humidity9am",71
"144","No","Humidity9am",76
"145","No","Humidity9am",89
"146","Yes","Humidity9am",94
"147","Yes","Humidity9am",76
"148","No","Humidity9am",80
"149","No","Humidity9am",78
"150","No","Humidity9am",90
"151","No","Humidity9am",60
"152","No","Humidity9am",54
"153","No","Humidity9am",72
"154","No","Humidity9am",90
"155","Yes","Humidity9am",68
"156","No","Humidity9am",77
"157","No","Humidity9am",76
"158","No","Humidity9am",70
"159","No","Humidity9am",66
"160","No","Humidity9am",68
"161","No","Humidity9am",69
"162","No","Humidity9am",82
"163","No","Humidity9am",72
"164","No","Humidity9am",75
"165","Yes","Humidity9am",96
"166","Yes","Humidity9am",70
"167","No","Humidity9am",66
"168","No","Humidity9am",65
"169","No","Humidity9am",77
"170","No","Humidity9am",58
"171","No","Humidity9am",69
"172","No","Humidity9am",66
"173","No","Humidity9am",77
"174","No","Humidity9am",79
"175","No","Humidity9am",74
"176","No","Humidity9am",82
"177","No","Humidity9am",84
"178","No","Humidity9am",99
"179","No","Humidity9am",68
"180","Yes","Humidity9am",75
"181","No","Humidity9am",69
"182","No","Humidity9am",80
"183","No","Humidity9am",67
"184","No","Humidity9am",81
"185","No","Humidity9am",74
"186","No","Humidity9am",76
"187","No","Humidity9am",76
"188","No","Humidity9am",70
"189","No","Humidity9am",73
"190","No","Humidity9am",80
"191","No","Humidity9am",78
"192","No","Humidity9am",80
"193","No","Humidity9am",80
"194","No","Humidity9am",73
"195","No","Humidity9am",87
"196","No","Humidity9am",84
"197","No","Humidity9am",80
"198","Yes","Humidity9am",88
"199","No","Humidity9am",68
"200","No","Humidity9am",71
"201","No","Humidity9am",85
"202","No","Humidity9am",99
"203","No","Humidity9am",81
"204","No","Humidity9am",74
"205","No","Humidity9am",81
"206","No","Humidity9am",74
"207","No","Humidity9am",81
"208","Yes","Humidity9am",99
"209","Yes","Humidity9am",93
"210","No","Humidity9am",91
"211","No","Humidity9am",92
"212","No","Humidity9am",83
"213","No","Humidity9am",84
"214","No","Humidity9am",99
"215","No","Humidity9am",85
"216","No","Humidity9am",99
"217","Yes","Humidity9am",78
"218","No","Humidity9am",84
"219","No","Humidity9am",74
"220","No","Humidity9am",86
"221","No","Humidity9am",76
"222","No","Humidity9am",75
"223","Yes","Humidity9am",97
"224","Yes","Humidity9am",90
"225","No","Humidity9am",86
"226","No","Humidity9am",82
"227","No","Humidity9am",73
"228","No","Humidity9am",72
"229","No","Humidity9am",78
"230","No","Humidity9am",80
"231","No","Humidity9am",97
"232","No","Humidity9am",95
"233","Yes","Humidity9am",91
"234","No","Humidity9am",99
"235","No","Humidity9am",74
"236","No","Humidity9am",92
"237","No","Humidity9am",95
"238","No","Humidity9am",75
"239","No","Humidity9am",81
"240","No","Humidity9am",71
"241","No","Humidity9am",90
"242","No","Humidity9am",84
"243","No","Humidity9am",53
"244","Yes","Humidity9am",73
"245","No","Humidity9am",62
"246","No","Humidity9am",82
"247","No","Humidity9am",80
"248","No","Humidity9am",81
"249","No","Humidity9am",86
"250","No","Humidity9am",99
"251","Yes","Humidity9am",93
"252","No","Humidity9am",95
"253","No","Humidity9am",83
"254","Yes","Humidity9am",76
"255","No","Humidity9am",87
"256","No","Humidity9am",92
"257","No","Humidity9am",93
"258","No","Humidity9am",83
"259","No","Humidity9am",99
"260","No","Humidity9am",99
"261","No","Humidity9am",75
"262","Yes","Humidity9am",71
"263","No","Humidity9am",92
"264","Yes","Humidity9am",78
"265","No","Humidity9am",68
"266","No","Humidity9am",76
"267","No","Humidity9am",82
"268","No","Humidity9am",92
"269","No","Humidity9am",88
"270","No","Humidity9am",92
"271","Yes","Humidity9am",74
"272","No","Humidity9am",69
"273","No","Humidity9am",84
"274","No","Humidity9am",81
"275","No","Humidity9am",64
"276","Yes","Humidity9am",67
"277","No","Humidity9am",70
"278","No","Humidity9am",81
"279","No","Humidity9am",78
"280","Yes","Humidity9am",67
"281","No","Humidity9am",89
"282","Yes","Humidity9am",69
"283","No","Humidity9am",76
"284","No","Humidity9am",92
"285","No","Humidity9am",72
"286","No","Humidity9am",69
"287","No","Humidity9am",58
"288","No","Humidity9am",59
"289","No","Humidity9am",54
"290","No","Humidity9am",52
"291","No","Humidity9am",59
"292","No","Humidity9am",89
"293","No","Humidity9am",94
"294","No","Humidity9am",60
"295","No","Humidity9am",50
"296","No","Humidity9am",66
"297","No","Humidity9am",49
"298","No","Humidity9am",64
"299","No","Humidity9am",82
"300","No","Humidity9am",77
"301","No","Humidity9am",57
"302","No","Humidity9am",60
"303","No","Humidity9am",74
"304","No","Humidity9am",81
"305","Yes","Humidity9am",89
"306","Yes","Humidity9am",60
"307","No","Humidity9am",69
"308","No","Humidity9am",69
"309","No","Humidity9am",65
"310","No","Humidity9am",79
"311","No","Humidity9am",63
"312","No","Humidity9am",84
"313","No","Humidity9am",79
"314","No","Humidity9am",53
"315","No","Humidity9am",62
"316","No","Humidity9am",68
"317","No","Humidity9am",44
"318","No","Humidity9am",47
"319","Yes","Humidity9am",71
"320","Yes","Humidity9am",63
"321","Yes","Humidity9am",53
"322","No","Humidity9am",69
"323","No","Humidity9am",82
"324","No","Humidity9am",54
"325","No","Humidity9am",46
"326","No","Humidity9am",42
"327","No","Humidity9am",51
"328","Yes","Humidity9am",73
"329","No","Humidity9am",67
"330","No","Humidity9am",70
"331","No","Humidity9am",48
"332","No","Humidity9am",62
"333","No","Humidity9am",36
"334","No","Humidity9am",41
"335","No","Humidity9am",52
"336","No","Humidity9am",56
"337","No","Humidity9am",44
"338","No","Humidity9am",44
"339","Yes","Humidity9am",94
"340","Yes","Humidity9am",79
"341","No","Humidity9am",65
"342","Yes","Humidity9am",68
"343","No","Humidity9am",72
"344","No","Humidity9am",69
"345","No","Humidity9am",82
"346","No","Humidity9am",70
"347","No","Humidity9am",67
"348","No","Humidity9am",56
"349","Yes","Humidity9am",82
"350","No","Humidity9am",71
"351","No","Humidity9am",73
"352","No","Humidity9am",73
"353","No","Humidity9am",80
"354","No","Humidity9am",66
"355","No","Humidity9am",60
"356","No","Humidity9am",54
"357","No","Humidity9am",43
"358","No","Humidity9am",47
"359","No","Humidity9am",71
"360","No","Humidity9am",57
"361","No","Humidity9am",45
"362","No","Humidity9am",38
"363","No","Humidity9am",45
"364","No","Humidity9am",63
"365","No","Humidity9am",69
"366","No","Humidity9am",43
"367","No","Humidity3pm",29
"368","Yes","Humidity3pm",36
"369","Yes","Humidity3pm",69
"370","Yes","Humidity3pm",56
"371","Yes","Humidity3pm",49
"372","No","Humidity3pm",57
"373","No","Humidity3pm",47
"374","No","Humidity3pm",57
"375","No","Humidity3pm",48
"376","Yes","Humidity3pm",32
"377","No","Humidity3pm",34
"378","No","Humidity3pm",35
"379","No","Humidity3pm",29
"380","No","Humidity3pm",20
"381","No","Humidity3pm",16
"382","No","Humidity3pm",22
"383","No","Humidity3pm",23
"384","Yes","Humidity3pm",26
"385","No","Humidity3pm",25
"386","No","Humidity3pm",27
"387","No","Humidity3pm",26
"388","No","Humidity3pm",72
"389","Yes","Humidity3pm",79
"390","No","Humidity3pm",57
"391","No","Humidity3pm",31
"392","No","Humidity3pm",48
"393","No","Humidity3pm",55
"394","No","Humidity3pm",31
"395","No","Humidity3pm",80
"396","No","Humidity3pm",49
"397","Yes","Humidity3pm",90
"398","Yes","Humidity3pm",46
"399","No","Humidity3pm",60
"400","Yes","Humidity3pm",40
"401","No","Humidity3pm",63
"402","No","Humidity3pm",54
"403","No","Humidity3pm",74
"404","Yes","Humidity3pm",42
"405","No","Humidity3pm",24
"406","No","Humidity3pm",37
"407","No","Humidity3pm",63
"408","No","Humidity3pm",51
"409","No","Humidity3pm",49
"410","No","Humidity3pm",37
"411","No","Humidity3pm",36
"412","Yes","Humidity3pm",86
"413","Yes","Humidity3pm",40
"414","No","Humidity3pm",43
"415","No","Humidity3pm",54
"416","Yes","Humidity3pm",74
"417","Yes","Humidity3pm",48
"418","Yes","Humidity3pm",62
"419","Yes","Humidity3pm",49
"420","No","Humidity3pm",43
"421","Yes","Humidity3pm",52
"422","No","Humidity3pm",35
"423","No","Humidity3pm",64
"424","Yes","Humidity3pm",44
"425","No","Humidity3pm",30
"426","No","Humidity3pm",18
"427","No","Humidity3pm",20
"428","No","Humidity3pm",20
"429","No","Humidity3pm",14
"430","No","Humidity3pm",55
"431","No","Humidity3pm",45
"432","No","Humidity3pm",40
"433","No","Humidity3pm",34
"434","No","Humidity3pm",36
"435","No","Humidity3pm",44
"436","No","Humidity3pm",45
"437","No","Humidity3pm",25
"438","No","Humidity3pm",24
"439","No","Humidity3pm",28
"440","Yes","Humidity3pm",35
"441","No","Humidity3pm",57
"442","No","Humidity3pm",26
"443","No","Humidity3pm",62
"444","Yes","Humidity3pm",42
"445","No","Humidity3pm",55
"446","Yes","Humidity3pm",88
"447","Yes","Humidity3pm",71
"448","No","Humidity3pm",58
"449","No","Humidity3pm",46
"450","No","Humidity3pm",38
"451","No","Humidity3pm",29
"452","No","Humidity3pm",32
"453","No","Humidity3pm",28
"454","No","Humidity3pm",28
"455","No","Humidity3pm",18
"456","No","Humidity3pm",22
"457","No","Humidity3pm",29
"458","Yes","Humidity3pm",49
"459","Yes","Humidity3pm",49
"460","No","Humidity3pm",44
"461","No","Humidity3pm",38
"462","Yes","Humidity3pm",76
"463","Yes","Humidity3pm",71
"464","No","Humidity3pm",41
"465","No","Humidity3pm",76
"466","Yes","Humidity3pm",58
"467","No","Humidity3pm",51
"468","No","Humidity3pm",37
"469","No","Humidity3pm",34
"470","Yes","Humidity3pm",60
"471","Yes","Humidity3pm",73
"472","No","Humidity3pm",37
"473","No","Humidity3pm",32
"474","No","Humidity3pm",40
"475","No","Humidity3pm",46
"476","No","Humidity3pm",42
"477","No","Humidity3pm",38
"478","No","Humidity3pm",31
"479","Yes","Humidity3pm",56
"480","Yes","Humidity3pm",42
"481","No","Humidity3pm",32
"482","No","Humidity3pm",34
"483","No","Humidity3pm",35
"484","No","Humidity3pm",27
"485","No","Humidity3pm",25
"486","No","Humidity3pm",78
"487","Yes","Humidity3pm",34
"488","No","Humidity3pm",31
"489","No","Humidity3pm",37
"490","No","Humidity3pm",28
"491","No","Humidity3pm",28
"492","No","Humidity3pm",35
"493","No","Humidity3pm",24
"494","No","Humidity3pm",34
"495","Yes","Humidity3pm",39
"496","No","Humidity3pm",33
"497","No","Humidity3pm",28
"498","No","Humidity3pm",18
"499","No","Humidity3pm",23
"500","No","Humidity3pm",18
"501","No","Humidity3pm",15
"502","No","Humidity3pm",15
"503","No","Humidity3pm",17
"504","No","Humidity3pm",22
"505","No","Humidity3pm",30
"506","No","Humidity3pm",48
"507","No","Humidity3pm",35
"508","No","Humidity3pm",62
"509","No","Humidity3pm",64
"510","No","Humidity3pm",44
"511","No","Humidity3pm",68
"512","Yes","Humidity3pm",93
"513","Yes","Humidity3pm",50
"514","No","Humidity3pm",36
"515","No","Humidity3pm",35
"516","No","Humidity3pm",30
"517","No","Humidity3pm",34
"518","No","Humidity3pm",42
"519","No","Humidity3pm",34
"520","No","Humidity3pm",26
"521","Yes","Humidity3pm",40
"522","No","Humidity3pm",33
"523","No","Humidity3pm",27
"524","No","Humidity3pm",35
"525","No","Humidity3pm",48
"526","No","Humidity3pm",45
"527","No","Humidity3pm",49
"528","No","Humidity3pm",28
"529","No","Humidity3pm",29
"530","No","Humidity3pm",32
"531","Yes","Humidity3pm",56
"532","Yes","Humidity3pm",40
"533","No","Humidity3pm",36
"534","No","Humidity3pm",39
"535","No","Humidity3pm",44
"536","No","Humidity3pm",43
"537","No","Humidity3pm",51
"538","No","Humidity3pm",65
"539","No","Humidity3pm",34
"540","No","Humidity3pm",49
"541","No","Humidity3pm",43
"542","No","Humidity3pm",55
"543","No","Humidity3pm",42
"544","No","Humidity3pm",34
"545","No","Humidity3pm",51
"546","Yes","Humidity3pm",60
"547","No","Humidity3pm",40
"548","No","Humidity3pm",40
"549","No","Humidity3pm",54
"550","No","Humidity3pm",38
"551","No","Humidity3pm",42
"552","No","Humidity3pm",42
"553","No","Humidity3pm",41
"554","No","Humidity3pm",53
"555","No","Humidity3pm",43
"556","No","Humidity3pm",44
"557","No","Humidity3pm",36
"558","No","Humidity3pm",41
"559","No","Humidity3pm",52
"560","No","Humidity3pm",47
"561","No","Humidity3pm",34
"562","No","Humidity3pm",44
"563","No","Humidity3pm",40
"564","Yes","Humidity3pm",69
"565","No","Humidity3pm",78
"566","No","Humidity3pm",53
"567","No","Humidity3pm",36
"568","No","Humidity3pm",52
"569","No","Humidity3pm",47
"570","No","Humidity3pm",43
"571","No","Humidity3pm",49
"572","No","Humidity3pm",43
"573","No","Humidity3pm",48
"574","Yes","Humidity3pm",50
"575","Yes","Humidity3pm",55
"576","No","Humidity3pm",50
"577","No","Humidity3pm",45
"578","No","Humidity3pm",46
"579","No","Humidity3pm",38
"580","No","Humidity3pm",67
"581","No","Humidity3pm",67
"582","No","Humidity3pm",86
"583","Yes","Humidity3pm",65
"584","No","Humidity3pm",65
"585","No","Humidity3pm",42
"586","No","Humidity3pm",42
"587","No","Humidity3pm",70
"588","No","Humidity3pm",65
"589","Yes","Humidity3pm",94
"590","Yes","Humidity3pm",65
"591","No","Humidity3pm",48
"592","No","Humidity3pm",58
"593","No","Humidity3pm",49
"594","No","Humidity3pm",57
"595","No","Humidity3pm",51
"596","No","Humidity3pm",58
"597","No","Humidity3pm",70
"598","No","Humidity3pm",63
"599","Yes","Humidity3pm",86
"600","No","Humidity3pm",59
"601","No","Humidity3pm",44
"602","No","Humidity3pm",53
"603","No","Humidity3pm",69
"604","No","Humidity3pm",54
"605","No","Humidity3pm",48
"606","No","Humidity3pm",51
"607","No","Humidity3pm",41
"608","No","Humidity3pm",38
"609","No","Humidity3pm",68
"610","Yes","Humidity3pm",56
"611","No","Humidity3pm",53
"612","No","Humidity3pm",53
"613","No","Humidity3pm",52
"614","No","Humidity3pm",55
"615","No","Humidity3pm",59
"616","No","Humidity3pm",96
"617","Yes","Humidity3pm",72
"618","No","Humidity3pm",68
"619","No","Humidity3pm",85
"620","Yes","Humidity3pm",66
"621","No","Humidity3pm",54
"622","No","Humidity3pm",69
"623","No","Humidity3pm",51
"624","No","Humidity3pm",46
"625","No","Humidity3pm",62
"626","No","Humidity3pm",55
"627","No","Humidity3pm",73
"628","Yes","Humidity3pm",48
"629","No","Humidity3pm",87
"630","Yes","Humidity3pm",56
"631","No","Humidity3pm",33
"632","No","Humidity3pm",48
"633","No","Humidity3pm",51
"634","No","Humidity3pm",25
"635","No","Humidity3pm",50
"636","No","Humidity3pm",66
"637","Yes","Humidity3pm",56
"638","No","Humidity3pm",49
"639","No","Humidity3pm",48
"640","No","Humidity3pm",38
"641","No","Humidity3pm",82
"642","Yes","Humidity3pm",56
"643","No","Humidity3pm",48
"644","No","Humidity3pm",60
"645","No","Humidity3pm",72
"646","Yes","Humidity3pm",48
"647","No","Humidity3pm",78
"648","Yes","Humidity3pm",62
"649","No","Humidity3pm",70
"650","No","Humidity3pm",68
"651","No","Humidity3pm",60
"652","No","Humidity3pm",63
"653","No","Humidity3pm",41
"654","No","Humidity3pm",45
"655","No","Humidity3pm",51
"656","No","Humidity3pm",27
"657","No","Humidity3pm",35
"658","No","Humidity3pm",30
"659","No","Humidity3pm",47
"660","No","Humidity3pm",36
"661","No","Humidity3pm",27
"662","No","Humidity3pm",44
"663","No","Humidity3pm",38
"664","No","Humidity3pm",28
"665","No","Humidity3pm",34
"666","No","Humidity3pm",23
"667","No","Humidity3pm",23
"668","No","Humidity3pm",43
"669","No","Humidity3pm",45
"670","No","Humidity3pm",45
"671","Yes","Humidity3pm",85
"672","Yes","Humidity3pm",34
"673","No","Humidity3pm",44
"674","No","Humidity3pm",51
"675","No","Humidity3pm",61
"676","No","Humidity3pm",73
"677","No","Humidity3pm",33
"678","No","Humidity3pm",33
"679","No","Humidity3pm",37
"680","No","Humidity3pm",25
"681","No","Humidity3pm",35
"682","No","Humidity3pm",20
"683","No","Humidity3pm",27
"684","No","Humidity3pm",31
"685","Yes","Humidity3pm",43
"686","Yes","Humidity3pm",33
"687","Yes","Humidity3pm",33
"688","No","Humidity3pm",43
"689","No","Humidity3pm",36
"690","No","Humidity3pm",30
"691","No","Humidity3pm",15
"692","No","Humidity3pm",25
"693","No","Humidity3pm",50
"694","Yes","Humidity3pm",44
"695","No","Humidity3pm",33
"696","No","Humidity3pm",32
"697","No","Humidity3pm",35
"698","No","Humidity3pm",25
"699","No","Humidity3pm",25
"700","No","Humidity3pm",32
"701","No","Humidity3pm",34
"702","No","Humidity3pm",16
"703","No","Humidity3pm",21
"704","No","Humidity3pm",22
"705","Yes","Humidity3pm",65
"706","Yes","Humidity3pm",46
"707","No","Humidity3pm",40
"708","Yes","Humidity3pm",45
"709","No","Humidity3pm",33
"710","No","Humidity3pm",22
"711","No","Humidity3pm",25
"712","No","Humidity3pm",30
"713","No","Humidity3pm",27
"714","No","Humidity3pm",47
"715","Yes","Humidity3pm",61
"716","No","Humidity3pm",42
"717","No","Humidity3pm",30
"718","No","Humidity3pm",34
"719","No","Humidity3pm",31
"720","No","Humidity3pm",30
"721","No","Humidity3pm",20
"722","No","Humidity3pm",28
"723","No","Humidity3pm",24
"724","No","Humidity3pm",25
"725","No","Humidity3pm",29
"726","No","Humidity3pm",16
"727","No","Humidity3pm",20
"728","No","Humidity3pm",15
"729","No","Humidity3pm",22
"730","No","Humidity3pm",47
"731","No","Humidity3pm",39
"732","No","Humidity3pm",13
