"","Month","Cloud9am","Cloud3pm","Temp3pm","Humidity9am","Humidity3pm","Evaporation","Sunshine"
"1","01",7,7,23.6,68,29,3.4,6.3
"2","01",5,3,25.7,80,36,4.4,9.7
"3","01",8,7,20.2,82,69,5.8,3.3
"4","01",2,7,14.1,62,56,7.2,9.1
"5","01",7,7,15.4,68,49,5.6,10.6
"6","01",7,5,14.8,70,57,5.8,8.2
"7","01",4,6,17.3,63,47,4.2,8.4
"8","01",6,7,15.5,65,57,5.6,4.6
"9","01",7,7,18.9,70,48,4,4.1
"10","01",7,1,21.7,82,32,5.4,7.7
"11","01",1,2,24,74,34,4.2,11.9
"12","01",0,3,26,54,35,7.2,12.5
"13","01",0,1,27.1,62,29,7.2,13
"14","01",1,4,30.7,67,20,6.2,12.4
"15","01",0,1,30.4,45,16,8.8,13.1
"16","01",0,3,30.7,70,22,8.4,11.1
"17","01",7,6,29.8,72,23,7.2,8.4
"18","01",1,5,28.6,59,26,7.2,10.1
"19","01",1,3,31.2,60,25,7.4,13
"20","01",0,1,32,61,27,8,10.4
"21","01",1,5,32.8,60,26,8.8,9.5
"22","01",8,8,18.3,88,72,9.2,0
"23","01",8,8,16.8,91,79,2.8,0.6
"24","01",7,5,22.8,74,57,1.2,7.5
"25","01",8,2,27.3,85,31,4.4,8.1
"26","01",2,4,25.1,65,48,6.8,8.9
"27","01",7,7,21.2,70,55,6.6,2.3
"28","01",5,7,26.7,61,31,4.4,10.7
"29","01",7,7,19.7,69,80,7,0.4
"30","01",8,7,23.2,83,49,2.6,0.5
"31","01",8,8,16.3,82,90,2.4,0.2
"32","02",2,2,25.2,66,46,1.6,12
"33","02",7,7,19.9,72,60,6.6,4.7
"34","02",5,2,25.1,74,40,3.8,11.8
"35","02",7,1,20.5,69,63,8.4,9.8
"36","02",8,7,24.5,78,54,6,6.3
"37","02",6,7,22.6,70,74,4.2,8.8
"38","02",8,1,26.3,76,42,4.2,8.8
"39","02",7,7,28.6,78,24,6.6,11.1
"40","02",7,7,22.9,58,37,10.4,10
"41","02",8,6,16.4,60,63,4.8,2.3
"42","02",7,5,19.4,66,51,4.2,7.3
"43","02",7,7,19.2,70,49,5,3.6
"44","02",1,2,25,63,37,4.4,12.7
"45","02",1,8,29.1,63,36,6.8,8.8
"46","02",8,8,20,93,86,6.4,0.9
"47","02",1,4,20.8,59,40,2.8,10.6
"48","02",6,7,19.8,61,43,6.6,8.7
"49","02",8,8,20,72,54,6.4,0.8
"50","02",8,7,20.4,97,74,1.6,2.3
"51","02",2,7,28.2,81,48,1.8,8.1
"52","02",8,3,19.6,92,62,4.4,5.9
"53","02",1,7,18.8,59,49,7.8,10.2
"54","02",6,4,22.5,69,43,6.2,12.1
"55","02",8,3,21,67,52,8.2,5.6
"56","02",1,1,23.9,63,35,5.2,13
"57","02",7,7,19,68,64,7.2,7.1
"58","02",1,5,27.4,73,44,8.8,13.2
"59","02",0,2,30.3,65,30,6.6,13.6
"60","02",1,1,34.3,55,18,9.6,13
"61","03",0,1,32.2,44,20,11.4,13.6
"62","03",7,6,31.8,50,20,8.8,12.8
"63","03",0,1,33.6,43,14,7.6,10.5
"64","03",8,7,22.3,69,55,12.6,2.2
"65","03",6,7,23.9,56,45,6.2,12.5
"66","03",7,2,26.8,69,40,7.4,11.7
"67","03",1,1,31.9,77,34,6.6,10.5
"68","03",1,1,31.3,60,36,9,12.6
"69","03",7,1,28,77,44,10,8.1
"70","03",8,1,27.9,74,45,6.6,8.8
"71","03",1,1,32.2,64,25,6.6,12.8
"72","03",0,1,34.5,56,24,9.4,13.3
"73","03",7,2,34,61,28,13.8,6.9
"74","03",2,3,31.8,65,35,9,13.5
"75","03",8,6,21.6,70,57,12.4,6
"76","03",7,1,31.7,70,26,5.2,11.1
"77","03",6,7,23.5,58,62,10.4,8.4
"78","03",1,1,23.9,62,42,6.4,11.6
"79","03",8,8,19.4,63,55,9.6,0.1
"80","03",8,8,18.6,92,88,5,0
"81","03",7,8,21.9,80,71,1.4,8.1
"82","03",8,7,18.6,73,58,5.6,1.6
"83","03",1,2,22.2,55,46,4.4,11.6
"84","03",1,4,22.7,60,38,5.8,10.8
"85","03",3,6,26.3,64,29,6.4,9.9
"86","03",7,7,24.6,67,32,6.8,8.2
"87","03",1,5,28.3,70,28,7.4,9
"88","03",1,4,30.7,71,28,6.6,11.6
"89","03",0,1,32.1,60,18,9.4,13.2
"90","03",1,1,32.3,72,22,10.4,11.8
"91","03",1,6,33.1,68,29,9.2,9.9
"92","04",7,8,26.3,66,49,10.2,3.6
"93","04",8,7,22.9,73,49,5.4,6.2
"94","04",7,2,27,71,44,5.8,8.1
"95","04",6,7,29.1,67,38,5.8,9.2
"96","04",8,8,22.1,92,76,8,0
"97","04",8,8,21.5,88,71,2.8,0.3
"98","04",4,7,26.5,77,41,2.8,8
"99","04",7,7,20.3,76,76,6.8,5.9
"100","04",7,7,18.7,75,58,5.4,5.6
"101","04",6,6,18.7,65,51,4,8.9
"102","04",1,7,21.4,66,37,5.8,9.6
"103","04",1,5,24.2,74,34,5,10.7
"104","04",8,5,22.6,95,60,6.6,5.9
"105","04",7,8,16.8,81,73,3.2,0.4
"106","04",1,1,22,63,37,2.8,12.7
"107","04",1,1,24.3,69,32,5.6,12.6
"108","04",1,1,24.7,71,40,7.2,12.6
"109","04",7,1,22.5,64,46,7.4,10.2
"110","04",5,4,24.1,72,42,6.8,11.7
"111","04",1,2,26.1,69,38,5.6,12.1
"112","04",2,7,28.6,78,31,7.2,8.2
"113","04",7,7,24,88,56,7.8,3.8
"114","04",5,5,27.4,78,42,3.2,8.6
"115","04",1,1,24.5,57,32,7.8,12.4
"116","04",0,1,22.9,54,34,10.4,12.4
"117","04",6,2,24.3,70,35,5.2,10.2
"118","04",3,6,27,74,27,5,11.6
"119","04",2,6,26.8,74,25,7.8,8.1
"120","04",7,7,15.3,74,78,7.6,0.8
"121","04",5,1,16.8,58,34,5.2,12
"122","05",1,1,20,60,31,6.2,12.1
"123","05",0,2,22.1,65,37,6.2,11.6
"124","05",1,1,25.5,78,28,5.6,10.1
"125","05",1,7,27,72,28,6,7.3
"126","05",1,1,26.2,69,35,6,11
"127","05",2,3,30,76,24,6,11.3
"128","05",0,7,27.7,56,34,8.4,7.5
"129","05",1,7,24.9,79,39,4.8,11.5
"130","05",0,1,27,66,33,5,11.5
"131","05",1,1,30.1,74,28,6.6,11.2
"132","05",0,3,32.7,50,18,6.4,8.5
"133","05",2,5,30.7,80,23,7.8,11
"134","05",7,1,31.7,91,18,8.6,9.7
"135","05",0,1,32.7,57,15,7.2,11.3
"136","05",5,2,34.1,47,15,6.4,11.2
"137","05",5,2,30.5,44,17,9.4,11.4
"138","05",1,0,28.8,73,22,7.8,11.2
"139","05",0,1,29.2,76,30,5.8,10.7
"140","05",1,4,24.5,59,48,9,9.8
"141","05",7,7,27.6,76,35,5.2,8
"142","05",7,8,13.9,77,62,8.2,0
"143","05",7,8,17.9,71,64,2.8,1.6
"144","05",7,6,24.2,76,44,2.4,6.2
"145","05",8,7,21.1,89,68,4.8,1.9
"146","05",8,8,16.6,94,93,2.8,0
"147","05",5,4,17.4,76,50,2.6,9.1
"148","05",1,2,17.4,80,36,4.6,9.6
"149","05",1,3,17.2,78,35,3.6,11
"150","05",6,6,18.2,90,30,3.4,10
"151","05",3,2,18.1,60,34,6.4,10.8
"152","05",2,5,16.5,54,42,6.4,10
"153","06",0,1,21.2,72,34,6,10.3
"154","06",1,8,22.5,90,26,3.6,5.6
"155","06",1,3,13.7,68,40,9.6,9.7
"156","06",0,1,17.6,77,33,4.8,9.6
"157","06",0,1,20.5,76,27,3.2,10.6
"158","06",1,5,20.8,70,35,2.8,9.3
"159","06",1,5,19.5,66,48,3.8,7.8
"160","06",5,4,17.8,68,45,4.2,4.1
"161","06",6,4,18.6,69,49,2.8,6.8
"162","06",1,1,22.2,82,28,2.2,9.5
"163","06",0,1,22.4,72,29,3.4,10.2
"164","06",7,3,23.7,75,32,4.6,6.1
"165","06",5,2,19.1,96,56,3.2,7.7
"166","06",1,1,17.9,70,40,3.8,9.3
"167","06",1,2,20.4,66,36,3.2,10.8
"168","06",1,1,18.8,65,39,3.4,10.6
"169","06",7,2,20.4,77,44,4.6,6.3
"170","06",3,6,19.1,58,43,3.2,8.3
"171","06",6,7,15.2,69,51,3,4.9
"172","06",4,7,15.6,66,65,4.4,7.1
"173","06",1,2,19.8,77,34,2.8,10.1
"174","06",7,6,17.7,79,49,3.8,8
"175","06",6,5,18.1,74,43,4,6.8
"176","06",4,4,17.6,82,55,2,7.9
"177","06",7,6,20.6,84,42,2,8.9
"178","06",7,7,20.2,99,34,2.8,6.5
"179","06",6,6,16.6,68,51,5.8,5.8
"180","06",3,6,8.8,75,60,4.4,5.6
"181","06",0,1,13.2,69,40,1.8,9.5
"182","06",1,7,13.9,80,40,1.4,7
"183","07",7,7,12.4,67,54,2.8,0.8
"184","07",1,2,15.9,81,38,1.6,9.2
"185","07",1,1,16.2,74,42,4,9.4
"186","07",5,2,15.4,76,42,2.4,9.3
"187","07",6,5,18.5,76,41,3.4,8.3
"188","07",7,7,15.4,70,53,2.8,3
"189","07",1,1,16.5,73,43,3.4,9.4
"190","07",1,1,16.9,80,44,4.4,9.4
"191","07",0,1,20.7,78,36,2.2,9.2
"192","07",1,1,20.9,80,41,2.4,9.3
"193","07",7,7,17.2,80,52,2,1.6
"194","07",7,1,18.8,73,47,2.2,7.7
"195","07",1,2,18.6,87,34,2.2,9.4
"196","07",1,3,17.8,84,44,2,9.2
"197","07",1,2,17.7,80,40,2.4,8.7
"198","07",7,7,15.2,88,69,3,4.3
"199","07",7,7,7.3,68,78,1.8,1.7
"200","07",6,6,13.3,71,53,1.6,8.8
"201","07",1,1,16.7,85,36,2.2,9.3
"202","07",8,1,16.2,99,52,2.2,5.6
"203","07",6,2,16.6,81,47,2.6,7.3
"204","07",1,1,13.8,74,43,2.6,9.2
"205","07",7,1,14.5,81,49,2.4,6.7
"206","07",0,1,13.9,74,43,1.2,8.9
"207","07",1,5,17.2,81,48,1.6,8.4
"208","07",7,4,17.9,99,50,2,5.1
"209","07",1,1,17.7,93,55,1.2,8.5
"210","07",1,4,16.3,91,50,1.6,8.2
"211","07",2,1,17.3,92,45,1.2,8.5
"212","07",1,1,17.4,83,46,2,8.6
"213","07",2,3,18.2,84,38,2.2,8.9
"214","08",7,7,13.9,99,67,2.2,2.7
"215","08",7,7,15.5,85,67,1,0.6
"216","08",8,8,13.6,99,86,0.6,0
"217","08",8,7,13.3,78,65,0.2,2.6
"218","08",6,7,14.8,84,65,2.2,2.7
"219","08",1,1,16.2,74,42,1.6,9
"220","08",1,1,14.5,86,42,1.4,9
"221","08",7,7,13,76,70,2,3
"223","08",8,8,11.6,97,94,2.2,0
"224","08",7,7,13.7,90,65,0.2,0.5
"225","08",1,1,14.7,86,48,1.2,8.5
"226","08",4,2,11.1,82,58,3.2,7.1
"227","08",4,1,11,73,49,2.2,7.2
"228","08",1,2,13.8,72,57,2.6,8.2
"229","08",7,2,16,78,51,2.6,5.9
"230","08",7,1,14.9,80,58,1.6,5.8
"231","08",5,7,15,97,70,1,4.7
"232","08",8,7,14.8,95,63,0.6,2
"233","08",8,7,11.3,91,86,0.6,0
"234","08",3,6,12.1,99,59,0.8,7.7
"235","08",5,4,12.5,74,44,1.4,7.6
"236","08",7,7,12.3,92,53,2,6.8
"237","08",8,6,11.7,95,69,1.4,4.1
"238","08",3,1,11.3,75,54,2,9
"239","08",6,1,11.5,81,48,2.6,6.5
"240","08",1,1,12.7,71,51,3.4,8.9
"241","08",4,3,14.5,90,41,2.2,8
"242","08",7,6,14.6,84,38,1.4,6.1
"243","08",1,7,12.9,53,68,2.4,6.4
"244","08",3,1,11.1,73,56,3.6,5.6
"245","09",5,1,12.3,62,53,2.8,8.2
"246","09",1,1,11.1,82,53,2.8,8.9
"247","09",1,6,10.2,80,52,1.8,3.9
"248","09",1,2,12.6,81,55,1.4,7
"249","09",5,5,13.6,86,59,1.2,7.1
"250","09",7,8,8.6,99,96,1.4,0.2
"251","09",6,6,7.4,93,72,1.4,6.5
"252","09",7,6,8,95,68,0.8,2.8
"253","09",7,7,6.9,83,85,1.8,1.2
"254","09",7,3,7.1,76,66,1.4,7.7
"255","09",1,7,9.9,87,54,1.4,6.5
"256","09",7,7,10.7,92,69,1,0.9
"257","09",5,1,15.9,93,51,0.6,8.9
"258","09",1,7,13.3,83,46,1.8,5.2
"259","09",7,7,12.1,99,62,2,1.9
"260","09",7,3,11,99,55,0.6,4.7
"261","09",3,5,8.2,75,73,0.8,5.6
"262","09",1,3,10.7,71,48,2.2,8.1
"263","09",7,8,8.7,92,87,1.8,0
"264","09",7,3,11.2,78,56,1.8,7.5
"265","09",1,1,11,68,33,1.4,9.2
"266","09",1,5,10.1,76,48,1.6,7.7
"267","09",3,5,10.8,82,51,1.6,8.4
"268","09",2,1,12.3,92,25,1.2,8.1
"269","09",7,7,10.9,88,50,2.2,5.9
"270","09",7,7,7.8,92,66,1.4,1.9
"271","09",2,4,9.6,74,56,0.8,9.1
"272","09",3,1,11.2,69,49,1.8,8.6
"273","09",1,1,11.5,84,48,2.6,8.7
"274","09",1,7,12.8,81,38,2.2,6.8
"275","10",8,7,8.6,64,82,2.6,0.7
"276","10",1,1,10.5,67,56,2.2,9.3
"277","10",1,1,11.6,70,48,2.2,9.6
"278","10",1,7,9.1,81,60,2.4,5.8
"279","10",3,8,7.2,78,72,1.8,4.2
"280","10",5,1,13.6,67,48,1.6,8.3
"281","10",7,7,5.7,89,78,3,5
"282","10",6,2,11.3,69,62,1.4,7.2
"283","10",1,6,8.1,76,70,1.8,7.3
"284","10",8,6,5.1,92,68,2.4,4.7
"285","10",1,1,8.3,72,60,1.4,9.9
"286","10",1,6,8.6,69,63,1.8,7.9
"287","10",1,1,10.4,58,41,2.8,9.8
"288","10",1,1,9.5,59,45,3.4,9.4
"289","10",1,3,12,54,51,4.4,8.4
"290","10",1,1,13.5,52,27,3,10
"291","10",0,1,10.8,59,35,4,10.4
"292","10",6,7,11.2,89,30,3,6.8
"293","10",6,6,12.2,94,47,2.2,7.9
"294","10",7,7,12.4,60,36,2.4,4.7
"295","10",8,8,13.2,50,27,3,1.8
"296","10",8,5,10.7,66,44,2.6,7
"297","10",1,1,11.1,49,38,5.4,9.5
"298","10",0,0,14,64,28,2.6,10.4
"299","10",7,6,12.8,82,34,2.6,7.8
"300","10",5,7,15.8,77,23,2.8,9
"302","10",1,5,12.3,60,43,3.4,9.9
"303","10",7,6,14.6,74,45,3.4,5.9
"304","10",7,8,15.4,81,45,1.8,4.1
"305","10",7,7,12.6,89,85,2.2,2.4
"306","11",1,1,14.3,60,34,2.6,10.8
"307","11",1,4,14.9,69,44,3.8,10.2
"308","11",7,5,11.1,69,51,2.8,3.9
"309","11",7,7,10.2,65,61,2.2,0.6
"310","11",8,8,10.8,79,73,1.6,0
"311","11",7,7,15.7,63,33,1.8,2.9
"312","11",7,7,15.5,84,33,2.8,8.6
"313","11",1,1,15.3,79,37,2.4,9.4
"314","11",0,0,13.4,53,25,3.4,10.9
"315","11",1,2,14.9,62,35,4,9.7
"316","11",1,1,16.3,68,20,3,9.9
"317","11",7,5,21.5,44,27,5,9.9
"318","11",3,1,25.1,47,31,5.6,10.2
"319","11",7,1,18.2,71,43,8.8,6
"320","11",3,6,18.5,63,33,5.2,8
"321","11",3,1,12.2,53,33,6.6,11
"322","11",7,1,13.7,69,43,5.6,9
"323","11",4,1,17.8,82,36,1.6,8.6
"324","11",1,1,22.4,54,30,3.6,10.3
"325","11",1,0,21.3,46,15,6.8,10.9
"326","11",1,0,18.3,42,25,10,11
"327","11",1,8,21,51,50,6.8,5.2
"328","11",7,1,14.3,73,44,6.4,7.9
"329","11",1,1,16.5,67,33,2.2,11.3
"330","11",1,1,18.1,70,32,2.6,11.1
"331","11",2,6,20,48,35,3.6,10.6
"332","11",5,1,24.7,62,25,4.8,10.5
"333","11",1,1,23,36,25,9.4,11.1
"334","11",2,7,16,41,32,9.6,9.4
"335","11",2,1,16.3,52,34,4.8,11.4
"336","12",5,1,19.5,56,16,5.4,11.1
"337","12",0,0,26.7,44,21,5.2,11
"338","12",1,1,28.4,44,22,10,10.8
"339","12",8,4,19.3,94,65,9.4,4.9
"340","12",8,1,19.8,79,46,4.2,6.7
"341","12",5,4,16.2,65,40,4.8,8.4
"342","12",1,1,14.6,68,45,5.4,11.8
"343","12",0,1,16.6,72,33,5.8,11.5
"344","12",0,1,18.8,69,22,6.2,11.5
"345","12",1,2,21.4,82,25,4.4,11
"346","12",1,3,20.6,70,30,5.4,11.2
"347","12",0,4,22.3,67,27,4.8,11.7
"348","12",4,7,23.2,56,47,6.2,7.5
"350","12",7,4,18.4,71,42,3.4,10.4
"351","12",1,1,19.2,73,30,4.2,12.2
"352","12",6,1,21.9,73,34,6.2,12
"353","12",1,7,23.7,80,31,5.4,8.6
"354","12",1,6,27.4,66,30,5.8,9.8
"355","12",1,1,26.3,60,20,7.6,12.1
"356","12",7,5,18.5,54,28,9,6.2
"357","12",1,5,14.3,43,24,4.8,11.7
"358","12",1,2,16.3,47,25,7.4,12.2
"359","12",3,8,19.1,71,29,5.4,8.4
"360","12",0,3,24.8,57,16,5.2,10.8
"361","12",5,8,25.9,45,20,6.8,3.5
"362","12",1,3,30,38,15,7.6,12.1
"363","12",0,1,28.2,45,22,11.6,12.7
"364","12",3,2,18.3,63,47,8.4,5.3
"365","12",6,7,25.9,69,39,5,7.1
"366","12",1,1,28.6,43,13,6,12.6
